"Third-placed teams
advance from groupsv
t
e",,,,,,,,,,,,"1A
vs","1B
vs","1D
vs","1E
vs","1G
vs","1I
vs","1K
vs","1L
vs",No.
A,,C,D,,F,G,,I,,K,L,3C,3G,3I,3D,3A,3F,3L,3K,242
A,,C,D,,F,G,,I,J,,L,3C,3G,3J,3D,3A,3F,3L,3I,243
A,,C,D,,F,G,,I,J,K,,3C,3G,3J,3D,3A,3F,3I,3K,244
A,,C,D,,F,G,H,,,K,L,3H,3G,3F,3C,3A,3D,3L,3K,245
A,,C,D,,F,G,H,,J,,L,3C,3G,3J,3D,3A,3F,3L,3H,246
A,,C,D,,F,G,H,,J,K,,3H,3G,3J,3C,3A,3F,3D,3K,247
A,,C,D,,F,G,H,I,,,L,3H,3G,3F,3C,3A,3D,3L,3I,248
A,,C,D,,F,G,H,I,,K,,3H,3G,3F,3C,3A,3D,3I,3K,249
A,,C,D,,F,G,H,I,J,,,3H,3G,3J,3C,3A,3F,3D,3I,250
A,,C,D,E,,,,I,J,K,L,3E,3J,3I,3C,3A,3D,3L,3K,251
A,,C,D,E,,,H,,J,K,L,3H,3J,3E,3C,3A,3D,3L,3K,252
A,,C,D,E,,,H,I,,K,L,3H,3E,3I,3C,3A,3D,3L,3K,253
A,,C,D,E,,,H,I,J,,L,3H,3J,3E,3C,3A,3D,3L,3I,254
A,,C,D,E,,,H,I,J,K,,3H,3J,3E,3C,3A,3D,3I,3K,255
A,,C,D,E,,G,,,J,K,L,3E,3G,3J,3C,3A,3D,3L,3K,256
A,,C,D,E,,G,,I,,K,L,3E,3G,3I,3C,3A,3D,3L,3K,257
A,,C,D,E,,G,,I,J,,L,3E,3G,3J,3C,3A,3D,3L,3I,258
A,,C,D,E,,G,,I,J,K,,3E,3G,3J,3C,3A,3D,3I,3K,259
A,,C,D,E,,G,H,,,K,L,3H,3G,3E,3C,3A,3D,3L,3K,260
A,,C,D,E,,G,H,,J,,L,3H,3G,3J,3C,3A,3D,3L,3E,261
A,,C,D,E,,G,H,,J,K,,3H,3G,3J,3C,3A,3D,3E,3K,262
A,,C,D,E,,G,H,I,,,L,3H,3G,3E,3C,3A,3D,3L,3I,263
A,,C,D,E,,G,H,I,,K,,3H,3G,3E,3C,3A,3D,3I,3K,264
A,,C,D,E,,G,H,I,J,,,3H,3G,3J,3C,3A,3D,3E,3I,265
A,,C,D,E,F,,,,J,K,L,3C,3J,3E,3D,3A,3F,3L,3K,266
A,,C,D,E,F,,,I,,K,L,3C,3E,3I,3D,3A,3F,3L,3K,267
A,,C,D,E,F,,,I,J,,L,3C,3J,3E,3D,3A,3F,3L,3I,268
A,,C,D,E,F,,,I,J,K,,3C,3J,3E,3D,3A,3F,3I,3K,269
A,,C,D,E,F,,H,,,K,L,3H,3E,3F,3C,3A,3D,3L,3K,270
A,,C,D,E,F,,H,,J,,L,3H,3J,3F,3C,3A,3D,3L,3E,271
A,,C,D,E,F,,H,,J,K,,3H,3J,3E,3C,3A,3F,3D,3K,272
A,,C,D,E,F,,H,I,,,L,3H,3E,3F,3C,3A,3D,3L,3I,273
A,,C,D,E,F,,H,I,,K,,3H,3E,3F,3C,3A,3D,3I,3K,274
A,,C,D,E,F,,H,I,J,,,3H,3J,3E,3C,3A,3F,3D,3I,275
A,,C,D,E,F,G,,,,K,L,3C,3G,3E,3D,3A,3F,3L,3K,276
A,,C,D,E,F,G,,,J,,L,3C,3G,3J,3D,3A,3F,3L,3E,277
A,,C,D,E,F,G,,,J,K,,3C,3G,3J,3D,3A,3F,3E,3K,278
A,,C,D,E,F,G,,I,,,L,3C,3G,3E,3D,3A,3F,3L,3I,279
A,,C,D,E,F,G,,I,,K,,3C,3G,3E,3D,3A,3F,3I,3K,280
A,,C,D,E,F,G,,I,J,,,3C,3G,3J,3D,3A,3F,3E,3I,281
A,,C,D,E,F,G,H,,,,L,3H,3G,3F,3C,3A,3D,3L,3E,282
A,,C,D,E,F,G,H,,,K,,3H,3G,3E,3C,3A,3F,3D,3K,283
A,,C,D,E,F,G,H,,J,,,3H,3G,3J,3C,3A,3F,3D,3E,284
A,,C,D,E,F,G,H,I,,,,3H,3G,3E,3C,3A,3F,3D,3I,285
A,B,,,,,G,H,I,J,K,L,3H,3J,3B,3A,3I,3G,3L,3K,286
A,B,,,,F,,H,I,J,K,L,3H,3J,3B,3A,3I,3F,3L,3K,287
A,B,,,,F,G,,I,J,K,L,3I,3J,3B,3F,3A,3G,3L,3K,288
A,B,,,,F,G,H,,J,K,L,3H,3J,3B,3F,3A,3G,3L,3K,289
A,B,,,,F,G,H,I,,K,L,3H,3G,3B,3A,3I,3F,3L,3K,290
A,B,,,,F,G,H,I,J,,L,3H,3J,3B,3F,3A,3G,3L,3I,291
A,B,,,,F,G,H,I,J,K,,3H,3J,3B,3F,3A,3G,3I,3K,292
A,B,,,E,,,H,I,J,K,L,3E,3J,3B,3A,3I,3H,3L,3K,293
A,B,,,E,,G,,I,J,K,L,3E,3J,3B,3A,3I,3G,3L,3K,294
A,B,,,E,,G,H,,J,K,L,3E,3J,3B,3A,3H,3G,3L,3K,295
A,B,,,E,,G,H,I,,K,L,3E,3G,3B,3A,3I,3H,3L,3K,296
A,B,,,E,,G,H,I,J,,L,3E,3J,3B,3A,3H,3G,3L,3I,297
A,B,,,E,,G,H,I,J,K,,3E,3J,3B,3A,3H,3G,3I,3K,298
A,B,,,E,F,,,I,J,K,L,3E,3J,3B,3A,3I,3F,3L,3K,299
A,B,,,E,F,,H,,J,K,L,3E,3J,3B,3F,3A,3H,3L,3K,300
